"Area"	"Perimeter"	"Radius"	"Circularity"	"Convexity"	"Inertia"	"Graymean"	"Graystd"	"Repimean"	"Repistd"	"Gepimean"	"Gepistd"	"Bepimean"	"Bepistd"	"family.label"
"H1T4OM6_4"	642.5	95.3553384542465	14.7648230602334	0.887959119909984	0.983920367534456	0.999948988791213	97.2226867675781	0.334643810987473	69.7899475097656	0.106775648891926	62.9186058044434	0.0905882120132446	91.9724426269531	0.249952241778374	"Lachnospiraceae"
"H1T4OM6_6"	126.5	42.7279218435287	6.70820393249937	0.87071664841211	0.973076923076923	0.99901922609442	117.694465637207	0.23418128490448	68.2904205322266	0.16046154499054	67.1305160522461	0.245337411761284	98.5031356811523	0.412374883890152	"Bifidobacteriaceae"
"H1T4OM6_7"	497	84.2842707633972	13.0192024052026	0.879170658627099	0.980276134122288	0.999718641191095	107.28288269043	0.213724121451378	62.8669395446777	0.0814646929502487	58.2824287414551	0.0663353428244591	80.8711624145508	0.135230183601379	"Bifidobacteriaceae"
"H1T4OM6_9"	90.5	37.0710676908493	6.40312423743285	0.827538588773873	0.967914438502674	0.980310874281445	124.703941345215	0.104851931333542	62.4733734130859	0.0603265464305878	58.5437240600586	0.043180450797081	73.6358337402344	0.071825884282589	"Ruminococcaceae"
"H1T4OM6_10"	1622.5	170.953317165375	21.5870331449229	0.697653062546484	0.92292377701934	0.999989338405163	92.151725769043	0.352685272693634	71.1254501342773	0.105980925261974	65.0650253295898	0.0971790328621864	99.371452331543	0.268126338720322	"Bifidobacteriaceae"
"H1T4OM6_11"	635	99.9411247968674	14.2652457334141	0.798904970937165	0.947761194029851	0.99996747152634	108.156677246094	0.228232368826866	64.2636260986328	0.0659178793430328	58.1101913452148	0.0425121672451496	75.7989273071289	0.107143126428127	"Others"
"H1T4OM6_12"	707	99.5979787111282	15.2970585407784	0.895629167018096	0.980582524271845	0.999973528156119	99.5708541870117	0.290501177310944	69.6808013916016	0.0870533585548401	62.9178733825684	0.0784884393215179	87.8383483886719	0.211549445986748	"Bifidobacteriaceae"
"H1T4OM6_15"	918	117.740114331245	17.2046505340853	0.832153873037308	0.957746478873239	0.999962678505008	91.3324661254883	0.374444037675858	70.318962097168	0.108063958585262	64.3589630126953	0.106460593640804	101.031791687012	0.282443881034851	"Bifidobacteriaceae"
"H1T4OM6_17"	654.5	96.5269113779068	14.7648230602334	0.882719447487134	0.979057591623037	0.999970851094334	98.2424240112305	0.334854811429977	68.2480850219727	0.112039044499397	62.176513671875	0.107324346899986	92.5418319702148	0.282051801681519	"Bifidobacteriaceae"
"H1T4OM6_18"	878.5	111.012192726135	17.0293863659264	0.89579837008122	0.983212087297146	0.999982579419978	94.1363220214844	0.33224019408226	69.4367141723633	0.0953052937984467	64.0965576171875	0.101899586617947	99.5424652099609	0.269776463508606	"Bacteroidaceae"
"H1T4OM6_20"	1346.5	139.154328227043	21.095023109729	0.873821615627384	0.979272727272727	0.999993028071789	89.1637649536133	0.342057824134827	70.7191162109375	0.104378238320351	64.9249038696289	0.0976571589708328	101.722885131836	0.260802865028381	"Bifidobacteriaceae"
"H1T4OM6_21"	1378.5	138.811182260513	21.095023109729	0.899016635803102	0.986757337151038	0.998364285977507	84.0053634643555	0.425776273012161	69.3069000244141	0.121760293841362	63.6070785522461	0.120823539793491	107.423141479492	0.303934633731842	"Bifidobacteriaceae"
"H1T4OM6_24"	3970.5	264.894442439079	36.2215405525497	0.711065112136068	0.919522927281149	0.999999108658548	79.0923385620117	0.403305381536484	75.209716796875	0.113593205809593	68.1459579467773	0.135865986347198	103.799812316895	0.351399511098862	"Bifidobacteriaceae"
